Frame,Ball_X,Ball_Y,Ball_Vx,Ball_Vy,Ref_1_X,Ref_1_Y,Ref_2_X,Ref_2_Y,Ref_3_X,Ref_3_Y,GK_X,GK_Y,Player_1_X,Player_1_Y,Player_2_X,Player_2_Y,Player_3_X,Player_3_Y,Player_4_X,Player_4_Y,Player_5_X,Player_5_Y,Player_6_X,Player_6_Y,Player_7_X,Player_7_Y,Player_8_X,Player_8_Y,Player_9_X,Player_9_Y,Player_10_X,Player_10_Y,Player_11_X,Player_11_Y,Player_12_X,Player_12_Y,Player_13_X,Player_13_Y,Player_14_X,Player_14_Y,Player_15_X,Player_15_Y,Player_16_X,Player_16_Y,Player_17_X,Player_17_Y,Player_18_X,Player_18_Y,Player_19_X,Player_19_Y,Player_20_X,Player_20_Y,Player_21_X,Player_21_Y,Player_22_X,Player_22_Y
22,545,166,-3,0,0,0,0,0,0,0,0,0,314,527,1723,360,1121,511,934,227,848,599,1152,385,1690,497,1346,844,357,392,288,790,328,438,725,371,758,418,985,300,995,175,798,274,442,227,1506,258,588,129,837,172,906,182,501,98
23,542,166,-3,0,0,0,0,0,0,0,0,0,318,524,1723,361,1122,510,935,228,845,599,1152,386,1688,498,1345,843,354,392,289,786,329,438,726,371,759,418,988,300,994,176,798,275,445,227,1506,259,591,130,833,174,906,184,503,99
24,539,166,-3,0,0,0,0,0,0,0,0,0,322,521,1722,363,1121,510,935,229,839,599,1152,386,1686,498,1344,841,351,392,291,780,332,438,727,369,760,417,990,301,995,176,797,274,447,228,1507,259,594,130,831,176,906,185,504,100
25,536,166,-3,0,0,0,0,0,0,0,0,0,323,519,1719,364,1120,510,936,231,835,598,1154,387,1687,498,1342,840,353,392,292,775,335,437,728,369,762,415,994,302,995,176,796,274,449,231,1507,259,596,131,828,179,905,188,507,102
26,533,166,-3,0,0,0,0,0,0,0,0,0,322,519,1719,364,1121,510,936,233,833,598,1156,387,1687,498,1341,839,356,392,292,771,339,435,727,369,764,414,999,303,994,178,793,277,447,231,1507,260,597,133,825,179,903,188,511,103
27,530,166,-3,0,0,0,0,0,0,0,0,0,324,518,1717,365,1120,510,935,235,834,596,1157,386,1685,499,1342,836,359,390,291,768,344,431,729,370,766,415,1004,304,993,179,789,277,450,233,1506,263,599,135,826,180,905,190,516,106
28,527,166,-3,0,0,0,0,0,0,0,0,0,329,517,1714,366,1117,510,935,236,833,593,1158,387,1684,498,1342,834,360,387,290,765,348,428,731,371,767,416,1008,305,990,182,786,278,453,233,1506,265,601,138,824,181,905,191,518,106
29,524,166,-3,0,524,109,0,0,0,0,0,0,333,515,1712,367,1117,510,937,237,832,592,1159,388,1682,499,1344,832,359,387,291,762,349,428,731,372,768,415,1012,306,987,183,785,279,457,234,1504,268,602,139,821,182,906,193,521,107
30,587,163,63,-3,527,108,0,0,0,0,0,0,337,513,1711,368,1117,510,938,238,829,591,1162,390,1682,500,1346,830,358,388,293,758,351,428,730,372,768,415,1016,307,988,184,784,279,462,235,1503,270,605,142,819,184,907,195,523,108
31,587,166,0,3,0,0,0,0,0,0,0,0,341,511,1711,369,1117,509,938,239,826,590,1161,391,1680,501,1348,828,357,389,296,752,355,429,731,371,767,415,1018,307,988,186,781,279,466,235,1502,271,608,144,817,187,907,196,527,111
